"Tytuł,Zabawność,Fantasy-realizm,Stare filmy-nowe filmy,Wzruszenie,""Lekki vs ambitny (lekki 0, ambitny 1)"",Czy jest akcja?,Czy jest romantyczny?,Muzyka,Jak bardzo zależy Ci na ocenie krytyków?,Jak bardzo chcesz się bać?"
Leon zawodowiec,0.2,0.7,0.5,0.7,0.7,0.6,0.3,0.4,0.8,0.8
Siedem,0.2,0.8,0.5,0.2,0.7,1,0.1,0.1,0.9,0.9
Skazani na Shawshank,0.2,0.8,0.5,0.7,0.6,1,0.1,0.2,0.9,0.5
Ojciec chrzestny,0.1,0.8,0.3,0.2,0.8,0.8,0.2,0.4,1,0.7
Król Lew,0.8,0.1,0.5,0.8,0.3,0.5,0.4,0.8,1,0.1
Dyktator,0.6,0.4,0.1,0.4,0.7,0.2,0.3,0.6,1,0.3
Interstellar,0.1,0.3,0.9,0.8,1,0.8,0.2,0.1,0.8,0.5
Incepcja,0.1,0.3,0.9,0.2,1,1,0.1,0.1,0.9,0.6
Les Miserables Nędznicy ,0.1,0.6,0.9,1,0.1,0.4,0.7,1,0.7,0.5
Mamma Mia! Here We Go Again,1,0.7,1,0.6,0.1,0.2,0.8,1,0.8,0.1
Zycie jest piękne,0.5,0.8,0.5,0.8,0.7,0.4,0.2,0.2,0.8,0.7
Podziemny krąg,0.2,0.3,0.5,0.2,0.6,0.7,0.3,0.1,0.8,0.7
Zielona mila,0.1,0.5,0.5,1,0.7,0.6,0.1,0.2,0.8,0.6
Forrest Gump,0.6,0.8,0.5,0.6,0.5,0.2,0.4,0.2,0.7,0.2
Chłopcy z ferajny,0.2,0.8,0.4,0.2,0.4,0.8,0.1,0.2,1,0.7
Pulp Fiction,0.4,0.5,0.5,0.1,0.5,1,0.2,0.2,1,0.6
Sami swoi,1,1,0.1,0.1,0.2,0.1,0.1,0.1,0.8,0.1
Stowarzyszenie Umarłych Poetów,0.2,1,0.4,0.8,0.7,0.5,0.5,0.3,0.9,0.4
Skrzypek na dachu,0.3,0.7,0.3,0.6,0.6,0.2,0.4,1,0.9,0.3
Przeminęło z wiatrem,0.2,0.8,0.1,0.7,0.6,0.5,0.9,0.2,1,0.5
Człowiek z blizną,0.2,0.8,0.4,0.2,0.4,0.6,0.1,0.1,0.9,0.7
I kto to mówi,1,0.8,0.4,0.4,0.1,0.1,0.4,0.1,0.2,0.1
Dwunastu gniewnych ludzi (1957),0.2,1,0.1,0.2,0.8,0.1,0.1,0.1,1,0.2
Deszczowa piosenka,0.7,0.7,0.1,0.1,0.1,0.1,0.6,1,1,0.1
Avatar,0.2,0.1,0.8,0.3,0.7,0.7,0.5,0.1,0.9,0.1
Piękny umysł,0.2,0.8,0.6,0.6,0.7,0.4,0.5,0.1,0.8,0.4
Amen,0.1,0.8,0.6,0.8,0.7,0.6,0.1,0.1,0.7,0.8
Troja,0.2,0.2,0.6,0.6,0.3,0.8,0.5,0.3,0.6,0.5
Żywot Briana,1,0.1,0.3,0.1,0.2,0.2,0.1,0.1,1,0.1
Duma i uprzedzenie,0.2,0.8,0.6,0.2,0.3,0.1,0.8,0.2,0.9,0.1
Fabryka zła,0.1,0.8,0.6,0.8,0.7,0.6,0.1,0.1,0.7,0.7
Prestiż,0.2,0.3,0.7,0.7,1,0.8,0.3,0.1,0.8,0.5
Fala,0.2,0.8,0.7,0.7,0.7,0.8,0.1,0.1,0.7,0.5
The Social Network,0.2,1,0.8,0.1,0.5,0.1,0.1,0.1,1,0.1
Jak zostać królem,0.4,0.8,0.8,0.4,0.3,0.1,0.3,0.6,1,0.1
Służące,0.7,0.8,0.8,0.6,0.6,0.2,0.2,0.4,0.8,0.1
Gra tajemnic,0.2,0.8,0.9,0.1,0.7,0.4,0.3,0.2,0.9,0.2
Whiplash,0.2,1,0.9,0.6,0.6,0.5,0.1,1,1,0.2
Za jakie grzechy dobry Boże,1,0.7,0.9,0.1,0.1,0.2,0.4,0.1,0.7,0.1
Nienawistna ósemka,0.4,0.4,0.9,0.2,0.5,0.5,0.1,0.1,0.8,0.5
Big Short,0.3,0.8,0.9,0.1,0.7,0.4,0.1,0.1,0.9,0.1
